Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2018-12-22 05:21:35,false,"Greeley Running","5.02","792","00:47:49","153","173","4.2","171","176","9:31","8:30","154","143","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","6","0.0"
running,2018-12-20 05:25:31,false,"Greeley Running","5.53","836","00:50:12","155","177","4.4","174","243","9:05","7:58","47","67","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","6","0.0"
running,2018-12-19 05:17:05,false,"Greeley Running","3.01","463","00:29:00","148","179","3.4","171","180","9:38","8:02","36","66","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
running,2018-12-18 04:25:47,false,"Greeley Running","6.30","1,011","00:58:29","159","177","5.0","170","178","9:17","7:55","173","193","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","7","0.0"
running,2018-12-12 17:52:45,false,"Greeley Running","3.02","495","00:27:05","164","178","3.9","171","178","8:58","7:59","54","80","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
treadmill_running,2018-12-11 05:30:25,false,"Treadmill Running","4.75","931","00:48:38","--","--","--","--","--","10:14","8:13","985","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
treadmill_running,2018-12-05 19:26:13,false,"Treadmill Run","5.00","1,091","00:51:47","--","--","--","--","--","10:21","10:00","827","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
treadmill_running,2018-12-04 18:00:49,false,"Other","4.00","776","00:40:33","--","--","--","--","--","10:08","7:54","393","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2018-12-02 06:12:59,false,"Greeley Running","9.11","1,445","01:30:03","148","165","4.6","173","220","9:53","8:54","175","151","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","10","0.0"
treadmill_running,2018-12-01 08:19:00,false,"Treadmill Running","3.71","818","00:40:00","--","--","--","--","--","10:47","10:43","793","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2018-11-29 04:00:37,false,"Greeley Running","6.52","1,040","01:02:59","153","186","4.3","169","188","9:39","7:23","132","141","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","12","0.0"
running,2018-11-27 05:14:47,false,"Greeley Running","5.16","760","00:49:06","147","176","3.6","167","192","9:31","6:36","44","55","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","20","0.0"
running,2018-11-25 06:16:28,false,"Greeley Running","8.84","1,356","01:30:02","143","163","3.8","171","180","10:11","8:26","215","211","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","9","0.0"
treadmill_running,2018-11-24 08:09:06,false,"Poncitlán Treadmill Running","4.39","731","00:44:26","--","--","--","--","--","10:07","8:20","428","287","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2018-11-22 05:57:41,false,"Greeley Running","6.61","1,066","01:03:38","155","182","4.5","170","186","9:37","7:18","131","131","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","12","0.0"
running,2018-11-21 05:24:03,false,"Greeley Running","4.55","660","00:44:16","139","157","3.3","172","180","9:43","7:58","85","81","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","5","0.0"
running,2018-11-20 05:35:14,false,"Greeley Running","4.57","661","00:43:40","145","173","3.4","165","192","9:33","6:28","45","52","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","15","0.0"
treadmill_running,2018-11-18 07:52:22,false,"Morning treadmill run","6.31","967","01:15:18","--","--","--","--","--","11:56","--","1,204","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
